Gene name,Gene stable ID
AHCYL2,ENSG00000158467
ECH1,ENSG00000104823
DOCK4-AS1,ENSG00000225572
RP5-881P19.7,ENSG00000276255
TMEM116,ENSG00000198270
C11orf84,ENSG00000168005
RPL19P14,ENSG00000240870
IGSF9B,ENSG00000080854
SLC12A8,ENSG00000221955
RP11-448P19.1,ENSG00000255258
NTM,ENSG00000182667
RP11-651K21.1,ENSG00000271624
ZNF678,ENSG00000181450
AP002856.7,ENSG00000237612
RP5-1068B5.1,ENSG00000230331
NIPAL2,ENSG00000104361
RP11-235G24.2,ENSG00000220913
ST14,ENSG00000149418
LINC01202,ENSG00000280776
EPRS,ENSG00000136628
LGALS4,ENSG00000171747
CTD-2197M16.1,ENSG00000251591
RAB1B,ENSG00000174903
CBX3P4,ENSG00000256030
RP11-372B4.3,ENSG00000278356
CACNA1C-IT3,ENSG00000256721
RP11-986G18.3,ENSG00000283587
LINC01641,ENSG00000234277
CTD-2090I13.3,ENSG00000242757
AC007618.3,ENSG00000203648
LYST,ENSG00000143669
ISCA1P2,ENSG00000229840
CTD-2647L4.1,ENSG00000254129
HMGB1P23,ENSG00000253770
KCNJ5,ENSG00000120457
FAM196B,ENSG00000204767
POT1,ENSG00000128513
RP11-740D6.3,ENSG00000255369
RP11-3B12.5,ENSG00000224899
COX5BP8,ENSG00000223794
AC007163.6,ENSG00000230408
KIRREL3-AS2,ENSG00000254960
MAPKAPK5,ENSG00000089022
MAPKAPK5-AS1,ENSG00000234608
RP11-826N14.2,ENSG00000248469
FAM153B,ENSG00000182230
RP5-907C10.3,ENSG00000279419
TMEM229A,ENSG00000234224
LIMD2,ENSG00000136490
RPL22L1,ENSG00000163584
AP4M1,ENSG00000221838
RP11-50B3.2,ENSG00000254833
MRGPRF-AS1,ENSG00000256508
RP11-495P10.5,ENSG00000238107
LINC01138,ENSG00000274020
RP11-495P10.10,ENSG00000225871
MYRF,ENSG00000124920
RP11-39H3.2,ENSG00000278965
HOXB13,ENSG00000159184
RP11-158K1.3,ENSG00000253106
RP11-87N3.6,ENSG00000271779
LINC02086,ENSG00000244649
RP11-357H14.17,ENSG00000272763
CTD-2377D24.2,ENSG00000244559
RPL9P28,ENSG00000242067
MAD1L1,ENSG00000002822
HMGB3P16,ENSG00000248430
EFCAB1,ENSG00000034239
AC006014.8,ENSG00000146722
RP11-345I18.1,ENSG00000234041
CTC-359M8.1,ENSG00000250025
ATPAF2,ENSG00000171953
PFN1P4,ENSG00000225080
RP11-185N2.1,ENSG00000257611
GABRA6,ENSG00000145863
RCC1L,ENSG00000274523
RP11-569A11.2,ENSG00000225620
RP11-175B9.2,ENSG00000232626
RP11-722G7.1,ENSG00000269226
SELPLG,ENSG00000110876
LL0XNC01-240C2.1,ENSG00000235946
PPT2-EGFL8,ENSG00000258388
LINC02159,ENSG00000253417
RP11-3K24.2,ENSG00000271626
RP11-662B19.1,ENSG00000242958
CEACAM3,ENSG00000170956
RPL8,ENSG00000161016
AL672296.1,ENSG00000229663
GGPS1,ENSG00000152904
SLC15A3,ENSG00000110446
OR2T35,ENSG00000177151
ADAMDEC1,ENSG00000134028
OTUB2,ENSG00000089723
LINC01010,ENSG00000236700
RP11-109E10.1,ENSG00000254823
RPS26P31,ENSG00000235459
CLMP,ENSG00000166250
RP11-624C23.1,ENSG00000253535
RIBC2,ENSG00000128408
RPS29P15,ENSG00000235926
RPL5,ENSG00000122406
PCDHGA7,ENSG00000253537
ZKSCAN1,ENSG00000106261
CRTAM,ENSG00000109943
OR2L13,ENSG00000196071
RP11-548K12.12,ENSG00000231484
RP11-548K12.1,ENSG00000231232
RP11-371A22.1,ENSG00000283041
CLK3P2,ENSG00000226191
RP11-548K12.3,ENSG00000236907
LINC00672,ENSG00000263874
MTND6P25,ENSG00000255316
RP11-150C16.1,ENSG00000257443
CEACAM5,ENSG00000105388
ARHGEF35,ENSG00000213214
AC112721.1,ENSG00000222022
RP11-673F18.1,ENSG00000254563
RP11-981P6.1,ENSG00000258302
CEACAMP3,ENSG00000239736
DNAJC19P2,ENSG00000269266
PRLR,ENSG00000113494
RECQL4,ENSG00000160957
FJX1,ENSG00000179431
RP1-276E15.1,ENSG00000254686
GLRA4,ENSG00000188828
LINC02201,ENSG00000251538
TMEM31,ENSG00000179363
EIF5B,ENSG00000158417
RP11-719K4.6,ENSG00000261695
LIPT1,ENSG00000144182
AC104809.4,ENSG00000233392
ABCC8,ENSG00000006071
CTB-127C13.1,ENSG00000247699
NRXN2,ENSG00000110076
SLAMF6,ENSG00000162739
ATP6V1G2,ENSG00000206445
RP11-443B7.2,ENSG00000237520
IGHV3-25,ENSG00000253441
OBSCN,ENSG00000154358
PRKDC,ENSG00000253729
THRSP,ENSG00000151365
KCTD14,ENSG00000151364
BCL9,ENSG00000116128
CTD-2588C8.8,ENSG00000267024
CTD-2200P10.1,ENSG00000266826
IGHV3-21,ENSG00000211947
HEG1,ENSG00000173706
IGHV3-20,ENSG00000211946
AC005754.8,ENSG00000272108
CH17-140K24.5,ENSG00000279068
PIH1D1,ENSG00000104872
C8orf76,ENSG00000189376
PCDHB9,ENSG00000177839
BOD1,ENSG00000145919
IGHV1-14,ENSG00000253709
IGHVIII-13-1,ENSG00000253412
AC073387.2,ENSG00000230192
ENG,ENSG00000106991
AC073071.1,ENSG00000234273
TARBP1,ENSG00000059588
GPR37L1,ENSG00000170075
LYPLAL1-AS1,ENSG00000228063
CRIP1P3,ENSG00000227109
RP11-286E11.2,ENSG00000249604
CICP5,ENSG00000233771
RP1-102K2.9,ENSG00000279699
NBPF17P,ENSG00000179571
RP11-1149M10.2,ENSG00000253214
CTD-2306M5.1,ENSG00000248605
RP11-379K17.4,ENSG00000239219
RP11-152L7.1,ENSG00000230714
SNRPD2,ENSG00000125743
SLC39A4,ENSG00000147804
LINC01825,ENSG00000223466
FBXO22,ENSG00000167196
CMB9-22P13.2,ENSG00000279243
CXorf36,ENSG00000147113
RP11-790I12.4,ENSG00000249686
RP4-620E11.4,ENSG00000235088
RPP21,ENSG00000242726
CKS1BP7,ENSG00000254331
TRIM26BP,ENSG00000235923
HSPB1P2,ENSG00000230216
SORBS2,ENSG00000154556
C11orf68,ENSG00000175573
CTC-441N14.1,ENSG00000249610
CTC-441N14.4,ENSG00000250803
FLNA,ENSG00000196924
RPL23,ENSG00000125691
MFSD4A,ENSG00000174514
MKLN1,ENSG00000128585
RP11-274B21.13,ENSG00000281896
RP11-212P7.1,ENSG00000213280
RP11-274B21.14,ENSG00000242588
MT-TF,ENSG00000210049
MT-RNR1,ENSG00000211459
MT-TV,ENSG00000210077
MT-RNR2,ENSG00000210082
MT-TL1,ENSG00000209082
MT-ND1,ENSG00000198888
MT-TI,ENSG00000210100
MT-TQ,ENSG00000210107
MT-TM,ENSG00000210112
MT-ND2,ENSG00000198763
MT-TW,ENSG00000210117
MT-TA,ENSG00000210127
MT-TN,ENSG00000210135
MT-TC,ENSG00000210140
MT-TY,ENSG00000210144
MT-CO1,ENSG00000198804
MT-TS1,ENSG00000210151
MT-TD,ENSG00000210154
MT-CO2,ENSG00000198712
MT-TK,ENSG00000210156
IGHD1-26,ENSG00000211907
IGHD7-27,ENSG00000236597
MT-ATP8,ENSG00000228253
IGHJ1,ENSG00000211905
AC010468.1,ENSG00000214784
MT-ATP6,ENSG00000198899
RP11-1223D19.2,ENSG00000282785
AC137932.5,ENSG00000260279
IGHJ5,ENSG00000242472
SYNE1,ENSG00000131018
RP11-678G14.2,ENSG00000268081
CPSF1,ENSG00000071894
MT-CO3,ENSG00000198938
RP11-556O9.4,ENSG00000272383
MT-TG,ENSG00000210164
MT-ND3,ENSG00000198840
CTD-2561J22.3,ENSG00000269237
MYL5,ENSG00000215375
MT-TR,ENSG00000210174
MT-ND4L,ENSG00000212907
CREBRF,ENSG00000164463
MT-ND4,ENSG00000198886
CTD-2542C24.9,ENSG00000271598
MFSD7,ENSG00000169026
MT-TH,ENSG00000210176
KIF13A,ENSG00000137177
MT-TS2,ENSG00000210184
MT-TL2,ENSG00000210191
RP11-435I10.4,ENSG00000261832
MT-ND5,ENSG00000198786
SHMT1P1,ENSG00000224751
POLR3G,ENSG00000113356
CCDC63,ENSG00000173093
CHAD,ENSG00000136457
SETP16,ENSG00000254621
MT-ND6,ENSG00000198695
VN1R5,ENSG00000197617
MT-TE,ENSG00000210194
RP11-158I9.1,ENSG00000254478
RP11-158I9.8,ENSG00000278376
MT-CYB,ENSG00000198727
ZNF84,ENSG00000198040
FAM83A-AS1,ENSG00000204949
RP11-539E17.5,ENSG00000253258
MT-TT,ENSG00000210195
CLSTN3,ENSG00000139182
MT-TP,ENSG00000210196
AC016831.6,ENSG00000232716
CYP21A2,ENSG00000231852
RP11-273B20.1,ENSG00000256967
MTND4P4,ENSG00000225295
MTND4LP32,ENSG00000283481
GDPD4,ENSG00000178795
PIK3C2G,ENSG00000139144
RP1-239B22.5,ENSG00000260196
MTCO3P10,ENSG00000231537
KB-1562D12.1,ENSG00000254024
KB-1562D12.3,ENSG00000253153
OR52A4P,ENSG00000205494
TNXB,ENSG00000168477
F5,ENSG00000198734
BEX4,ENSG00000102409
KB-1410C5.5,ENSG00000271882
HLA-DQB1-AS1,ENSG00000230414
SASH1,ENSG00000111961
TCAM1P,ENSG00000240280
HLA-DQB1,ENSG00000231939
TAS2R62P,ENSG00000234066
AC074290.1,ENSG00000224219
AC118754.4,ENSG00000229782
PAPPA2,ENSG00000116183
CTD-2232E5.2,ENSG00000250831
PTP4A1P7,ENSG00000237514
AC098795.1,ENSG00000279405
CTA-407F11.8,ENSG00000234884
TREH,ENSG00000118094
POMGNT1,ENSG00000085998
MYBBP1A,ENSG00000132382
RP1-206D15.5,ENSG00000234604
PPP1CC,ENSG00000186298
RP11-497H16.8,ENSG00000253333
RAD1,ENSG00000113456
C6orf48,ENSG00000204387
PSMB3,ENSG00000277791
SPNS2,ENSG00000183018
RP11-65J21.4,ENSG00000263257
CTC-546K23.1,ENSG00000229855
OR52S1P,ENSG00000237354
RP11-497H16.7,ENSG00000250687
IQGAP1,ENSG00000140575
RP11-497H16.9,ENSG00000269983
AC007237.2,ENSG00000226230
RP11-16N11.2,ENSG00000260572
TRIM26,ENSG00000137313
FAM72B,ENSG00000188610
SLC25A51P3,ENSG00000254181
ATP6V0E1P3,ENSG00000238038
OTOP3,ENSG00000182938
AC113189.5,ENSG00000233223
RP11-409K20.7,ENSG00000224988
RPS4XP23,ENSG00000239253
RP11-455O6.2,ENSG00000262115
PNLDC1,ENSG00000146453
PTOV1-AS1,ENSG00000268006
GPATCH2,ENSG00000092978
RP11-180P8.5,ENSG00000272164
RP11-180P8.4,ENSG00000270324
RP11-439A17.4,ENSG00000227193
MAGI2,ENSG00000187391
IGHA1,ENSG00000211895
CPNE3,ENSG00000085719
RP11-328L11.1,ENSG00000253945
TAC3,ENSG00000166863
LSM2,ENSG00000204392
SPNS3,ENSG00000182557
MAGI2-AS2,ENSG00000226978
RP4-587D13.2,ENSG00000280958
AC006355.3,ENSG00000229110
CTD-2234B20.1,ENSG00000249404
RP11-120E11.2,ENSG00000278396
EPHX4,ENSG00000172031
FAM131B,ENSG00000159784
AC013463.2,ENSG00000236283
RP11-307P5.1,ENSG00000227681
TTC36,ENSG00000172425
SAMD5,ENSG00000203727
BBS9,ENSG00000122507
FBXO36,ENSG00000153832
LRP5,ENSG00000162337
ATF5,ENSG00000169136
RP3-416J7.1,ENSG00000218577
UGT2B25P,ENSG00000215110
KLHL10,ENSG00000161594
RP11-770J1.3,ENSG00000255435
DNM1P49,ENSG00000261820
PCDHA10,ENSG00000250120
MPV17L2,ENSG00000254858
TRIM15,ENSG00000137384
TRIM60P16,ENSG00000229909
RP11-760D2.10,ENSG00000213067
TREML4,ENSG00000188056
RP11-760D2.4,ENSG00000223740
CICP18,ENSG00000217929
NMD3P2,ENSG00000231504
RP11-760D2.11,ENSG00000261275
RPS20P31,ENSG00000240925
RP1-278C19.8,ENSG00000275936
RBM22P3,ENSG00000226485
RP11-57A19.5,ENSG00000270118
PSD,ENSG00000059915
WBP1LP12,ENSG00000271530
RP13-492C18.1,ENSG00000232944
RP11-814E24.3,ENSG00000224370
CTC-551A13.1,ENSG00000248428
FIBP,ENSG00000172500
RP11-644F5.10,ENSG00000258311
TYW3,ENSG00000162623
RP5-827A12.2,ENSG00000215444
AP001619.3,ENSG00000236545
CHMP7,ENSG00000147457
CTSW,ENSG00000172543
GS1-393G12.12,ENSG00000254690
TPM3P4,ENSG00000214869
TREML3P,ENSG00000184106
PHBP15,ENSG00000262648
NCOR1,ENSG00000141027
DGAT1,ENSG00000185000
RP11-48B3.5,ENSG00000251867
MRPL18,ENSG00000112110
PIGL,ENSG00000108474
PNKP,ENSG00000039650
RP11-779O18.2,ENSG00000213386
RP11-779O18.3,ENSG00000253736
RP11-351M8.1,ENSG00000259649
FAM98A,ENSG00000119812
EIF3CL,ENSG00000205609
NEURL1B,ENSG00000214357
ZSWIM7,ENSG00000214941
METTL1,ENSG00000037897
RP11-571M6.15,ENSG00000257921
CTC-529I10.1,ENSG00000275413
RPLP1P11,ENSG00000243686
RP11-770J1.4,ENSG00000255384
AHCTF1,ENSG00000153207
ZNF737,ENSG00000237440
PDE8A,ENSG00000073417
CTD-2332E11.2,ENSG00000268560
ITGB5,ENSG00000082781
ESRRA,ENSG00000173153
SLC5A8,ENSG00000256870
CTD-2542C24.3,ENSG00000269373
TRMT112,ENSG00000173113
RP11-644F5.16,ENSG00000258921
RP4-725G10.4,ENSG00000233028
DPF2,ENSG00000133884
RP1-117B12.4,ENSG00000253102
HCFC2,ENSG00000111727
LRRC59,ENSG00000108829
GIMD1,ENSG00000250298
CHRM1,ENSG00000168539
CTD-2613O8.1,ENSG00000248853
CTD-2334D19.1,ENSG00000248927
RP1-68D18.4,ENSG00000255443
AC005609.2,ENSG00000248106
PCGF2,ENSG00000277258
YWHAZ,ENSG00000164924
RP11-832A4.7,ENSG00000280032
CHFR,ENSG00000072609
ARL6,ENSG00000113966
CAPN8,ENSG00000203697
RP11-46H11.3,ENSG00000250790
ZSCAN25,ENSG00000197037
MPZL2,ENSG00000149573
CBY3,ENSG00000204659
ZDHHC16,ENSG00000171307
AC115617.2,ENSG00000233585
RP11-341A11.3,ENSG00000274157
RP11-109D20.1,ENSG00000259418
CTB-79E8.4,ENSG00000280318
LINC01944,ENSG00000254299
GNAS,ENSG00000087460
CNN2P2,ENSG00000227069
RP4-806M20.3,ENSG00000268333
CTSLP4,ENSG00000230011
HSPE1P18,ENSG00000255163
RP11-24M17.6,ENSG00000261043
UBTD2,ENSG00000168246
RP11-88E10.5,ENSG00000274922
MRPL45,ENSG00000277936
ATP11AUN,ENSG00000197595
RPS20P23,ENSG00000242399
NLRP2,ENSG00000022556
SERHL2,ENSG00000183569
LUADT1,ENSG00000196634
RP11-317N8.5,ENSG00000258938
NUTF2P2,ENSG00000258300
RP11-116N8.2,ENSG00000257614
UGT2B11,ENSG00000213759
STXBP5-AS1,ENSG00000233452
RP11-497D6.3,ENSG00000227748
RP13-644M16.4,ENSG00000196472
RP11-321N4.4,ENSG00000280232
IGLVIVOR22-1,ENSG00000271138
CTA-246H3.12,ENSG00000272942
HIST2H2BA,ENSG00000223345
RP13-644M16.2,ENSG00000251427
CTD-2026K11.1,ENSG00000260892
NUTM2HP,ENSG00000232706
DUSP21,ENSG00000189037
OR6C4,ENSG00000179626
CTC-575C13.3,ENSG00000276294
BEND3P1,ENSG00000231345
RPSAP61,ENSG00000214016
CSPG4,ENSG00000173546
RP11-28H5.2,ENSG00000271983
NT5E,ENSG00000135318
ACER3,ENSG00000078124
RP13-644M16.3,ENSG00000250100
PRAMEF15,ENSG00000204501
CAPN12,ENSG00000182472
BNIP3P19,ENSG00000271638
HLA-DRB4,ENSG00000227357
GPR182,ENSG00000166856
AC093732.1,ENSG00000233845
CTC-550B14.10,ENSG00000275012
XYLT2,ENSG00000015532
GUK1,ENSG00000143774
TCTN1,ENSG00000204852
CTC-550B14.1,ENSG00000243494
CTD-2587H24.5,ENSG00000267577
TMPRSS4,ENSG00000137648
CTA-246H3.11,ENSG00000231466
CTA-246H3.8,ENSG00000230637
DASS-397D15.5,ENSG00000226227
BOP1,ENSG00000261236
SCX,ENSG00000260428
CH17-118O6.4,ENSG00000275296
RDH16,ENSG00000139547
MFSD1P1,ENSG00000261868
LL0XNC01-138C3.2,ENSG00000275681
TEX40,ENSG00000219435
CTD-2587H24.1,ENSG00000267507
YY2,ENSG00000230797
DASS-397D15.4,ENSG00000235228
TNFRSF10A,ENSG00000104689
CAV1,ENSG00000105974
PTPRH,ENSG00000080031
SDR9C7,ENSG00000170426
TM9SF4,ENSG00000101337
AC092664.1,ENSG00000233370
RP5-836N17.4,ENSG00000275576
RP11-149I9.2,ENSG00000263167
OR6C75,ENSG00000187857
C12orf29,ENSG00000133641
CTD-2555A7.2,ENSG00000256982
